Instance,Method,Profit,Weight,NumItems,Time,Feasible
12I2.txt,Greedy_MaxProfitWeight,6066,5436,63,0.000744,Yes
12I2.txt,Greedy_MinConflicts,13646,13006,64,0.000693,Yes
12I2.txt,GRASP_100_0.3,8364,7724,64,2.699560,Yes
12I3.txt,Greedy_MaxProfit,18921,18341,58,0.000746,Yes
12I3.txt,Greedy_MinWeight,4755,4175,58,0.000738,Yes
12I3.txt,Greedy_MaxProfitWeight,4755,4175,58,0.000676,Yes
12I3.txt,Greedy_MinConflicts,12245,11615,63,0.000696,Yes
12I3.txt,GRASP_100_0.3,8121,7471,65,2.833243,Yes
12I4.txt,Greedy_MaxProfit,18976,18406,57,0.000722,Yes
12I4.txt,Greedy_MinWeight,5842,5272,57,0.000710,Yes
12I4.txt,Greedy_MaxProfitWeight,5842,5272,57,0.000736,Yes
12I4.txt,Greedy_MinConflicts,13613,12953,66,0.000756,Yes
12I4.txt,GRASP_100_0.3,8467,7867,60,2.762556,Yes
12I5.txt,Greedy_MaxProfit,18478,17888,59,0.000755,Yes
12I5.txt,Greedy_MinWeight,5931,5331,60,0.000640,Yes
12I5.txt,Greedy_MaxProfitWeight,5931,5331,60,0.000679,Yes
12I5.txt,Greedy_MinConflicts,15000,14330,67,0.000721,Yes
12I5.txt,GRASP_100_0.3,8699,8079,62,2.737541,Yes
13I1.txt,Greedy_MaxProfit,13294,12894,40,0.000624,Yes
13I1.txt,Greedy_MinWeight,3431,2991,44,0.000616,Yes
13I1.txt,Greedy_MaxProfitWeight,3431,2991,44,0.000568,Yes
13I1.txt,Greedy_MinConflicts,9555,9105,45,0.000523,Yes
13I1.txt,GRASP_100_0.3,5907,5437,47,1.436500,Yes
13I2.txt,Greedy_MaxProfit,13747,13347,40,0.000547,Yes
13I2.txt,Greedy_MinWeight,4509,4089,42,0.000548,Yes
13I2.txt,Greedy_MaxProfitWeight,4509,4089,42,0.000504,Yes
13I2.txt,Greedy_MinConflicts,9777,9317,46,0.000570,Yes
13I2.txt,GRASP_100_0.3,6651,6201,45,1.534911,Yes
13I3.txt,Greedy_MaxProfit,14540,14120,42,0.000649,Yes
13I3.txt,Greedy_MinWeight,3544,3134,41,0.000557,Yes
13I3.txt,Greedy_MaxProfitWeight,3544,3134,41,0.000512,Yes
13I3.txt,Greedy_MinConflicts,9318,8878,44,0.000507,Yes
13I3.txt,GRASP_100_0.3,5864,5414,45,1.445271,Yes
